Run,Fitness1,Solution1,Fitness2,Solution2
18,2.54577008E8,0041002300860052002900390066007300130088,1.421564E8,0045002300940000004800410081007700100079
19,2919866.8,0051002000730048001400230049008900240038,768426.4,0050002400710028002200230050008900180042
20,2374747.2,0051001400370053001900220064005200120022,975175.25,0050000600210025002600220075006000030018
21,1087787.9,0049002900760053002100240060008500190026,66173.72,0050002600760028002800240064008700200041
22,9940172.0,0048002600920054002600420048009000240111,2487487.5,0049002801020036003900430048009100190079
23,4.36832032E8,0038002900700055003100220060004600470021,2.51650064E8,0043002700670043005400220070005600170033
24,1508017.0,0049003400510055001400520028009000510070,29208.24,0050002300370051001500530023009100180061
25,2.4225326E7,0047004700350053001800180051003400160031,8299749.0,0049003700290028002200180052005400170039
26,3.27991744E8,0038005600860054002100440054005400450117,1.20141144E8,0045004100880029002500430056006700240111
27,4.42788832E8,0064005300820053001700230044004800220046,1.28221776E8,0055005900830018001900230041005600110052
28,5425745.5,0048004500850053002800330022008000380037,811392.2,0050001600910019004400330015008400190045
29,4.7135088E8,0038003100690055003000470060008000420056,2.72554656E8,0042002900660041005200500070008300160056
0,1.8903086E7,0054002000310037003100610009002900210022,4928288.0,0049002100330022003000400012009400070055
1,1.1914296E7,0047005900760038002700530055003100490052,1280944.4,0051003400600022002700370054009400040062
2,4388258.0,0052003800570039002000520031004700360071,1590751.5,0049002700480023002200370033009300050066
3,5.5677728E7,0050002200780037001300310031009100180072,3.7934648E7,0047002100570026000900300033009100000057
4,214597.48,0050005600270039001900310078006600040076,103706.05,0050003000240032002100290069009300090070
5,1.0177758E7,0053001000280039001700550047008900180067,2978077.8,0049001800310023002000380047009100080065
6,1.148433E7,0053004200420039001900250012006700290042,3282510.2,0049002900390023002100270015009200060059
7,3.8830664E7,0045003200460039000600400025005600400076,5357063.0,0051002500410023001300330027009300050067
8,9756969.0,0048003500060021005000470025007600240091,71262.88,0050000800130003003200300045009500230045
9,4755175.5,0051002400770026000400230027009200210067,369744.94,0050002400610039000700260027009100180068
10,9.7649616E7,0043004400530036001400450045005100190103,7731010.0,0051001700470032002100310047009900190062
11,1.44730416E8,0059001800420038001200560015004100470132,1063377.9,0050003000440040002300280045010300170061
12,462580.5,0051000200750038002000430000001700060000,119162.07,0050002300600040002100330017009700150044
13,1.0222896E8,0059003300600036001400230073002700110068,2.188947E7,0048002500500020001800260070009400090065
14,1.12126136E8,0059001600760037001100150029008100440078,2.3843036E7,0048002000600021001600230031009100040067
15,1.5002232E8,0040001700660037002700190050001800060033,2.3824568E7,0052002000540021002700250050009500090057
16,1.6574512E8,0061001500560037001500400048005200230023,3.4321688E7,0047001900480021001900330047009300070055
17,6.89656E7,0056003200810035001200360043008100080110,3665726.5,0049002200630033002100290046009300250062
18,1.421564E8,0043002200910023004600480081006800090090,2122704.5,0049002300720010004100370077009200120060
19,768426.4,0051002700720034001700230049008800290033,527520.06,0050001500580041002200260048009100030059
20,975175.25,0051000400260035002400210077003900000009,188464.03,0050002300270039002400260065009500130047
21,66173.72,0050002800760037002600250069008300140025,1458195.4,0051002300600032002600270056009300240065
22,2487487.5,0049002500990040004000530047009000180113,310303.06,0050002900750049002900310048009100280038
23,2.51650064E8,0040002800680051005200210070003400370020,171650.73,0050002400540041004600260067009500000058
24,29208.24,0049003300420047001000690011009000400071,1419946.8,0051001400320055001900390034009100000052
25,8299749.0,0048005300290036002000150053001700100028,979793.0,0050001300330032002200240050010700240060
26,1.20141144E8,0042006400870038002600550059004200390136,43116.875,0050000100650040001900280049010300200061
27,1.28221776E8,0060006000830035001700230041003500170047,2.6999978E7,0048003500640019002000260041009400080060
28,811392.2,0049004400890033004600380000007700300036,1154127.8,0050000000710023003500300030009400090061
29,2.72554656E8,0040003000670049005000610070007700330056,209860.61,0050002400530038004400400067009200010059
